Orthogroup	Node	Bootstrap	Paralog1	Paralog2
gene_trees/100.treefile	N5	98	Genome_Ecalifornica_ID_EscalH1.3G201500	Genome_Ecalifornica_ID_EscalH1.2G240800
gene_trees/10000.treefile	N2	85	Genome_Ecalifornica_ID_EscalH1.3G020000	Genome_Ecalifornica_ID_EscalH1.3G380700
gene_trees/10009.treefile	N5	43	Genome_Ctomentella_ID_contig34R16T18.1	Genome_Ctomentella_ID_contig3A64T192.1
gene_trees/10011.treefile	N3	99	Genome_Cchinensis_ID_KAF9590288.1	Genome_Cchinensis_ID_KAF9590290.1
gene_trees/10014.treefile	N2	34	Genome_Ctomentella_ID_contig32A9T71.1	Genome_Ctomentella_ID_contig25A22T153.1
gene_trees/10034.treefile	N2	38	Genome_Ctomentella_ID_contig32A5T98.1	Genome_Ctomentella_ID_contig25A19T197.1
gene_trees/10037.treefile	N4	56	Genome_Ctomentella_ID_contig32A1T93.1	Genome_Ctomentella_ID_contig25R19T37.1
gene_trees/1004.treefile	N3	100	Genome_Cchinensis_ID_KAF9587667.1	Genome_Cchinensis_ID_KAF9587670.1
gene_trees/10040.treefile	N1	62	Genome_Ecalifornica_ID_EscalH1.3G040100	Genome_Ecalifornica_ID_EscalH1.2G404400
gene_trees/10041.treefile	N2	21	Genome_Ecalifornica_ID_EscalH1.4G394300	Genome_Ecalifornica_ID_EscalH1.3G040300
gene_trees/10043.treefile	N3	96	Genome_Cchinensis_ID_KAF9611837.1	Genome_Cchinensis_ID_KAF9611833.1
gene_trees/10053.treefile	N3	98	Genome_Acoerulea_ID_Aqcoe1G332500	Genome_Acoerulea_ID_Aqcoe1G331200
gene_trees/10064.treefile	N5	39	Genome_Acoerulea_ID_Aqcoe1G323600	Genome_Acoerulea_ID_Aqcoe4G156200
gene_trees/10066.treefile	N5	53	Genome_Epleiosperma_ID_evm.model.CTG_176.69	Genome_Epleiosperma_ID_evm.model.CTG_127.412
gene_trees/10071.treefile	N1	90	Genome_Ecalifornica_ID_EscalH1.3G044900	Genome_Ecalifornica_ID_EscalH1.2G401400
gene_trees/10071.treefile	N3	43	Genome_Cchinensis_ID_KAF9590571.1	Genome_Cchinensis_ID_KAF9610506.1
